optimiser,avg_rank,std_rank
adam,1.6,1.2649110640673518
pso,3.2,1.6865480854231356
sgd,3.2,1.8737959096740262
de,4.5,1.1785113019775793
rmsprop,4.6,2.0110804171997807
ga,4.7,1.2516655570345725
cmaes,6.2,1.3165611772087666
