dataset,optimiser,median_mse,mean_time
Abalone,adam,0.0094289186242248,65.89029828002677
Abalone,cmaes,0.113413607069622,7.916862120013684
Abalone,de,0.0135209409576054,22.88008241998032
Abalone,ga,0.0149541268524686,61.28164807986468
Abalone,pso,0.0091852388471406,26.842390340007842
Abalone,rmsprop,0.0137927008017645,102.70208331998438
Abalone,sgd,0.01380020278631,98.1508431000635
Airfoil,adam,0.0247218449055411,19.46411865996197
Airfoil,cmaes,0.0353546499882329,4.120578039996326
Airfoil,de,0.030595742338441,11.917770799994468
Airfoil,ga,0.0296912194894787,31.170556000154466
Airfoil,pso,0.0349202225055172,13.879931319877505
Airfoil,rmsprop,0.0332076069960654,29.98700595991686
Airfoil,sgd,0.0332465729701702,29.478280660137536
Ankara,adam,0.0011380669072233,4.983509739954025
Ankara,cmaes,0.2793787322572778,4.4063784799538555
Ankara,de,0.0394924700658054,12.69299207990989
Ankara,ga,0.0371126140052819,34.27798440000042
Ankara,pso,0.2769727285060181,14.591087020095438
Ankara,rmsprop,0.0497747489289723,7.983757019881159
Ankara,sgd,0.0474198497723785,7.650659800041467
AutoMPG,adam,0.0065306092557069,6.445984360016882
AutoMPG,cmaes,0.1890228893164327,4.064596080034971
AutoMPG,de,0.0194850170195842,11.812895580101758
AutoMPG,ga,0.0267363039937059,30.00613355981186
AutoMPG,pso,0.0198782534284901,13.197924740053713
AutoMPG,rmsprop,0.0450304769422984,8.8978867999278
AutoMPG,sgd,0.0442553115702896,8.48953430019319
AutoMPG6,adam,0.0143175355165308,2.0273482600226997
AutoMPG6,cmaes,0.078357611475592,3.632159599941224
AutoMPG6,de,0.0396326091129367,11.082041140086949
AutoMPG6,ga,0.0204208281074551,26.845507620088757
AutoMPG6,pso,0.0180454285657003,11.900296319834888
AutoMPG6,rmsprop,0.0195411793383766,3.4315016800537705
AutoMPG6,sgd,0.020788523674254,3.2855901599861683
Baseball,adam,0.0321916840471663,31.892895040102303
Baseball,cmaes,0.0569029850746268,8.952047379966825
Baseball,de,0.0569029850746268,26.80519942007959
Baseball,ga,0.0569029850746268,69.60423871995881
Baseball,pso,0.0569029850746268,31.27588315997273
Baseball,rmsprop,0.0515695778107187,51.64997681993991
Baseball,sgd,0.0519785470521879,48.97178527992219
Categorical,adam,0.003524187590226,53.344020979851486
Categorical,cmaes,0.8468396038403894,6.657309520058334
Categorical,de,0.1986778653455014,19.935637819953264
Categorical,ga,0.190534197761907,51.86153474003076
Categorical,pso,0.0350355647842651,22.82965025994927
Categorical,rmsprop,0.0542180781481882,84.61305754017084
Categorical,sgd,0.0556796296433756,82.02907365998253
Computer,adam,0.0029537805301745,8.857715000025928
Computer,cmaes,0.0129976276260128,11.151631700061262
Computer,de,0.0129976276260128,33.62189789991826
Computer,ga,0.0129976276260128,88.50438329996541
Computer,pso,0.0129976276260128,38.845273360051216
Computer,rmsprop,0.006824250149016,12.475895380042493
Computer,sgd,0.0129976276260128,11.758496360015124
Concrete,adam,0.021918676894337,15.869316840078682
Concrete,cmaes,0.2033576471018671,4.733859439939261
Concrete,de,0.0355372259975628,13.635256099980325
Concrete,ga,0.0401979236958527,35.35382230002433
Concrete,pso,0.0306652088045899,16.1095317998901
Concrete,rmsprop,0.0411506107371105,24.311252560000867
Concrete,sgd,0.041217027272968,22.928172019962222
Cool,adam,0.0033065681028532,12.621394019946456
Cool,cmaes,0.2096896438209948,4.747353920154273
Cool,de,0.0185090046830602,14.413557879813016
Cool,ga,0.025705499276285,36.703371199965474
Cool,pso,0.0216907319169542,15.962875939998776
Cool,rmsprop,0.0663692120742698,20.07830630000681
Cool,sgd,0.0666411771859843,19.02538613984361
Electrical,adam,0.0010001418276011,13.071064520068466
Electrical,cmaes,0.0141794257342913,3.6003359001129867
Electrical,de,0.0122304100594133,10.501547560002653
Electrical,ga,0.0138126797865615,26.742526300158353
Electrical,pso,0.0120346258601476,11.708612699899824
Electrical,rmsprop,0.046924789054887,20.586067100055516
Electrical,sgd,0.0458372617680222,20.43494948009029
Energy,adam,0.0063030968260737,11.341741819959134
Energy,cmaes,0.2855906503920512,4.565551260020584
Energy,de,0.0372079324665537,13.366280359961092
Energy,ga,0.0444243380540217,34.2347068999894
Energy,pso,0.0374101396282594,15.124271919950843
Energy,rmsprop,0.0807052766884172,18.727220900077373
Energy,sgd,0.0804313914817446,17.586435119993986
Heat,adam,0.009998079041558,6.116303640045226
Heat,cmaes,0.04491828583144,3.744727660063654
Heat,de,0.0329039282424161,10.974583839904517
Heat,ga,0.0341994891336582,28.133374360017477
Heat,pso,0.0318651394169228,12.136704980023206
Heat,rmsprop,0.0445065174599945,8.281005919817835
Heat,sgd,0.0444870996698547,8.146648259926588
Izmir,adam,0.0007380262119732,22.539369119983167
Izmir,cmaes,0.3641201609487406,5.250537819974125
Izmir,de,0.3222876598458158,15.42323583997786
Izmir,ga,0.0564378842278051,40.072214199975136
Izmir,pso,0.0447994167702536,17.89183595990762
Izmir,rmsprop,0.0628016683663231,34.933886559959504
Izmir,sgd,0.0623096611862355,33.71942758001387
Laser,adam,0.0054428508726572,12.079626180045306
Laser,cmaes,0.0226469355761628,3.6528887398540975
Laser,de,0.0210469250498937,10.313578259944915
Laser,ga,0.0239167815934424,26.660973639972507
Laser,pso,0.0208261494295389,11.806906460039318
