optimiser,mean_mse,std_mse,mean_time,std_time
adam,0.009999849767798545,0.010209577276621118,18.18454751200974,15.984562668832677
rmsprop,0.04100102612852867,0.01767263844167684,28.60216024398338,25.29495094815529
sgd,0.04117462584298055,0.017019275511171852,27.4876769600017,24.278887527133392
ga,0.04271659308583974,0.03598837469556842,40.83121490399353,16.17666314274073
pso,0.05748286804467068,0.0815707466444474,18.01329562096391,7.15977932141811
de,0.07447043798312306,0.09238043266612557,15.713639369984158,6.052645755928191
cmaes,0.19519732108484572,0.18724283831249539,5.338188331010752,1.9854780318799694
