mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(3, 4, 6, 3, 4)",9,0.0,216.76107831563473,90.05102040816315,43,78.06122448979586,90.05102040816315
"(6, 4, 6, 5, 7)",3,0.0,-49999753.09527228,76.02040816326516,1000000000,76.02040816326516,76.02040816326516
"(9, 9, 8, 4, 5)",8,0.0,-49999806.71111091,56.8877551020407,1000000000,56.8877551020407,56.8877551020407
"(3, 8, 3, 4, 3)",9,0.0,219.48018860908564,90.3061224489795,43,78.3163265306122,90.3061224489795
"(7, 3, 4, 7, 7)",7,0.0,-49999764.30261087,72.19387755102024,1000000000,72.19387755102024,72.19387755102024
"(6, 6, 6, 5, 7)",3,0.0,-49999770.873601474,69.38775510204064,1000000000,69.38775510204064,69.38775510204064
"(6, 8, 9, 3, 7)",3,0.0,-49999782.564510055,65.05102040816311,1000000000,65.05102040816311,65.05102040816311
"(5, 6, 7, 6, 9)",7,0.0,-49999799.3133588,58.41836734693866,1000000000,58.41836734693866,58.41836734693866
"(5, 8, 6, 5, 7)",9,0.0,-49999774.58897209,67.34693877551004,1000000000,67.34693877551004,67.34693877551004
"(4, 9, 9, 3, 7)",4,0.0,-49999782.83291653,65.05102040816311,1000000000,65.05102040816311,65.05102040816311
"(5, 9, 9, 4, 8)",8,0.0,-49999801.06324333,56.37755102040808,1000000000,56.37755102040808,56.37755102040808
"(7, 9, 8, 8, 4)",3,0.0,-49999818.736523814,52.55102040816319,1000000000,52.55102040816319,52.55102040816319
"(6, 8, 9, 6, 5)",5,0.0,-49999796.62357545,59.43877551020396,1000000000,59.43877551020396,59.43877551020396
"(6, 3, 5, 6, 6)",8,0.0,-49999754.84005752,76.53061224489784,1000000000,76.53061224489784,76.53061224489784
"(4, 6, 3, 7, 8)",7,0.0,-49999752.0114534,75.51020408163247,1000000000,75.51020408163247,75.51020408163247
"(5, 6, 5, 5, 3)",4,0.0,213.08652956684196,84.69387755102034,59,78.06122448979588,84.69387755102034
