score,mf_inputs,mf_output,lb_rmse,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
-1e+18,,,,,,,
-49999862.89305072,"(4, 4, 5, 5, 8)",7.0,0.0,43.026706231454014,1000000000.0,43.026706231454014,43.026706231454014
-49999895.10255425,"(6, 5, 7, 6, 7)",8.0,0.0,30.860534124629083,1000000000.0,30.860534124629083,30.860534124629083
-1e+18,,,,,,,
-1e+18,,,,,,,
-1e+18,,,,,,,
-49999891.28140778,"(9, 9, 6, 3, 8)",5.0,0.0,31.750741839762615,1000000000.0,31.750741839762615,31.750741839762615
-49999859.68866953,"(7, 3, 6, 4, 4)",4.0,0.0,51.92878338278931,1000000000.0,51.92878338278931,51.92878338278931
-49999860.98574568,"(4, 6, 8, 6, 4)",6.0,0.0,43.026706231454014,1000000000.0,43.026706231454014,43.026706231454014
-1e+18,,,,,,,
-1e+18,,,,,,,
-1e+18,,,,,,,
-1e+18,,,,,,,
-49999874.7717865,"(4, 6, 5, 9, 5)",5.0,0.0,38.575667655786354,1000000000.0,38.575667655786354,38.575667655786354
-1e+18,,,,,,,
-1e+18,,,,,,,
-1e+18,,,,,,,
-1e+18,,,,,,,
-49999825.30436622,"(6, 7, 3, 5, 3)",4.0,0.0,55.489614243323444,1000000000.0,55.489614243323444,55.489614243323444
-49999885.52163622,"(9, 7, 3, 8, 6)",8.0,0.0,34.1246290801187,1000000000.0,34.1246290801187,34.1246290801187
-1e+18,,,,,,,
-49999890.6299897,"(8, 3, 7, 9, 6)",3.0,0.0,32.640949554896146,1000000000.0,32.640949554896146,32.640949554896146
-1e+18,,,,,,,
-49999855.92727504,"(5, 5, 4, 8, 4)",9.0,0.0,45.40059347181009,1000000000.0,45.40059347181009,45.40059347181009
-49999853.64747636,"(3, 9, 4, 7, 4)",5.0,0.0,46.290801186943625,1000000000.0,46.290801186943625,46.290801186943625
-49999867.97458382,"(5, 8, 3, 9, 4)",7.0,0.0,40.65281899109793,1000000000.0,40.65281899109793,40.65281899109793
-49999880.90006091,"(3, 9, 4, 8, 9)",4.0,0.0,36.498516320474785,1000000000.0,36.498516320474785,36.498516320474785
-1e+18,,,,,,,
-49999846.18452179,"(5, 5, 4, 5, 4)",8.0,0.0,49.25816023738872,1000000000.0,49.25816023738872,49.25816023738872
-49999872.61689893,"(6, 6, 4, 4, 8)",4.0,0.0,39.46587537091989,1000000000.0,39.46587537091989,39.46587537091989
-1e+18,,,,,,,
-49999855.77589583,"(6, 8, 3, 8, 3)",4.0,0.0,45.10385756676558,1000000000.0,45.10385756676558,45.10385756676558
