mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(4, 6, 3, 7, 8)",5.0,0.0,229.43227688222828,98.66539561487126,42.0,78.16968541468063,98.66539561487126
"(5, 9, 8, 9, 7)",6.0,0.0,232.0264636168476,97.14013346043853,62.0,78.26501429933278,97.14013346043853
"(9, 8, 8, 7, 6)",7.0,0.0,229.01622926462488,97.04480457578634,50.0,78.16968541468067,97.04480457578634
"(4, 9, 9, 6, 6)",5.0,0.0,229.65904855922585,97.14013346043838,46.0,78.07435653002858,97.14013346043838
"(3, 5, 9, 7, 5)",7.0,0.0,228.6737480154788,97.71210676835074,45.0,78.16968541468064,97.71210676835074
"(3, 4, 8, 8, 9)",9.0,0.0,230.06310763381535,97.14013346043838,58.0,78.16968541468069,97.14013346043838
"(8, 4, 4, 7, 6)",7.0,0.0,229.26534455489025,98.28408007626307,37.0,78.83698760724499,98.28408007626307
"(5, 4, 3, 6, 8)",4.0,0.0,227.764709058209,98.57006673021912,37.0,78.55100095328879,98.57006673021912
"(8, 8, 3, 3, 6)",6.0,0.0,228.10353597769233,98.95138226882742,32.0,78.45567206863682,98.95138226882742
"(5, 5, 4, 9, 5)",5.0,0.0,229.16639048292737,98.66539561487122,40.0,78.45567206863676,98.66539561487122
"(4, 8, 9, 7, 3)",5.0,0.0,228.94332428410337,98.09342230695887,41.0,78.7416587225929,98.09342230695887
"(7, 6, 3, 4, 5)",8.0,0.0,228.3141149580318,99.14204003813151,30.0,79.02764537654912,99.14204003813151
"(6, 4, 3, 8, 6)",8.0,0.0,229.5954583166973,98.76072449952328,35.0,78.83698760724502,98.76072449952328
"(3, 3, 7, 7, 4)",7.0,0.0,227.32087427439703,98.47473784556718,34.0,78.36034318398475,98.47473784556718
"(7, 7, 5, 8, 6)",3.0,0.0,231.1331846714959,98.09342230695896,46.0,78.74165872259293,98.09342230695896
"(7, 8, 6, 4, 7)",7.0,0.0,231.16117829909527,98.18875119161103,47.0,78.55100095328885,98.18875119161103
"(8, 8, 4, 9, 9)",4.0,0.0,233.0177314476368,97.33079122974256,63.0,78.45567206863686,97.33079122974256
