cfg_id,lr,alpha,momentum,airfoil_rmse,laser_rmse,concrete_rmse,ankara_rmse,wine_rmse
rmsprop_00,0.001,0.99,0.0,8.913650512695312,6.490521430969238,12.427597045898438,6.460213661193848,0.6136115789413452
rmsprop_01,0.001,0.9,0.0,8.949628829956055,6.617614269256592,12.505952835083008,6.592844009399414,0.6213035583496094
