dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
izmir,adam,1,101,epoch,9.020042419433594,9.98098087310791
izmir,adam,1,102,epoch,9.093809127807617,9.978772163391113
izmir,adam,1,103,epoch,9.0923433303833,9.976667404174805
izmir,adam,1,104,epoch,9.140398025512695,9.974634170532227
izmir,adam,1,105,epoch,9.139021873474121,9.972750663757324
izmir,adam,1,106,epoch,9.137866973876953,9.971147537231445
izmir,adam,1,107,epoch,9.137131690979004,9.969574928283691
izmir,adam,1,108,epoch,9.136335372924805,9.967805862426758
izmir,adam,1,109,epoch,9.135316848754883,9.966043472290039
izmir,adam,1,110,epoch,9.134397506713867,9.964509010314941
izmir,adam,1,111,epoch,9.133416175842285,9.963183403015137
izmir,adam,1,112,epoch,9.132583618164062,9.961897850036621
izmir,adam,1,113,epoch,9.253067970275879,9.96068286895752
izmir,adam,1,114,epoch,9.252543449401855,9.959335327148438
izmir,adam,1,115,epoch,9.251845359802246,9.957856178283691
izmir,adam,1,116,epoch,9.250823974609375,9.956039428710938
izmir,adam,1,117,epoch,9.249576568603516,9.954288482666016
izmir,adam,1,118,epoch,9.348450660705566,9.952549934387207
izmir,adam,1,119,epoch,9.34730339050293,9.950714111328125
izmir,adam,1,120,epoch,9.574127197265625,9.949223518371582
izmir,adam,1,121,epoch,9.765995979309082,9.948070526123047
izmir,adam,1,122,epoch,9.76536750793457,9.946738243103027
izmir,adam,1,123,epoch,9.764663696289062,10.323502540588379
izmir,adam,1,124,epoch,9.98583698272705,10.322038650512695
izmir,adam,1,125,epoch,10.0695161819458,10.320636749267578
izmir,adam,1,126,epoch,10.068717002868652,10.85501480102539
izmir,adam,1,127,epoch,10.18016529083252,10.853967666625977
izmir,adam,1,128,epoch,10.39493465423584,10.85322380065918
izmir,adam,1,129,epoch,10.579893112182617,10.852417945861816
izmir,adam,1,130,epoch,10.802157402038574,11.287606239318848
izmir,adam,1,131,epoch,10.89058780670166,11.286094665527344
izmir,adam,1,132,epoch,10.889657974243164,11.284703254699707
izmir,adam,1,133,epoch,10.888672828674316,11.28331184387207
izmir,adam,1,134,epoch,10.887779235839844,11.28215217590332
izmir,adam,1,135,epoch,10.887049674987793,11.281304359436035
izmir,adam,1,136,epoch,11.031140327453613,11.28050708770752
izmir,adam,1,137,epoch,11.030837059020996,11.279799461364746
izmir,adam,1,138,epoch,11.133692741394043,11.278938293457031
izmir,adam,1,139,epoch,11.1333646774292,11.997529983520508
izmir,adam,1,140,epoch,11.514958381652832,11.99698257446289
izmir,adam,1,141,epoch,11.514747619628906,11.996543884277344
izmir,adam,1,142,epoch,11.514582633972168,11.995661735534668
izmir,adam,1,143,epoch,11.589920043945312,11.99492073059082
izmir,adam,1,144,epoch,11.589608192443848,11.994009017944336
izmir,adam,1,145,epoch,11.684122085571289,11.992780685424805
izmir,adam,1,146,epoch,11.683356285095215,11.992035865783691
izmir,adam,1,147,epoch,11.682830810546875,11.991265296936035
izmir,adam,1,148,epoch,11.682469367980957,11.990474700927734
izmir,adam,1,149,epoch,11.790121078491211,11.989832878112793
izmir,adam,1,150,epoch,11.789800643920898,11.989215850830078
izmir,adam,1,151,epoch,11.789523124694824,11.989027976989746
izmir,adam,1,152,epoch,11.789314270019531,11.98850154876709
izmir,adam,1,153,epoch,11.789094924926758,11.988676071166992
izmir,adam,1,154,epoch,11.789029121398926,11.988580703735352
izmir,adam,1,155,epoch,11.788740158081055,12.345048904418945
izmir,adam,1,156,epoch,11.86198902130127,12.344961166381836
izmir,adam,1,157,epoch,11.861618995666504,13.245955467224121
izmir,adam,1,158,epoch,12.054767608642578,13.245949745178223
izmir,adam,1,159,epoch,12.054681777954102,13.245932579040527
izmir,adam,1,160,epoch,12.054402351379395,13.24495792388916
izmir,adam,1,161,epoch,12.218804359436035,13.243718147277832
izmir,adam,1,162,epoch,12.217992782592773,13.242691040039062
izmir,adam,1,163,epoch,12.272811889648438,13.242057800292969
izmir,adam,1,164,epoch,12.272319793701172,13.241852760314941
izmir,adam,1,165,epoch,12.27185344696045,13.597811698913574
izmir,adam,1,166,epoch,12.495658874511719,14.302735328674316
izmir,adam,1,167,epoch,12.83470344543457,14.30300235748291
izmir,adam,1,168,epoch,12.834836959838867,14.30316162109375
izmir,adam,1,169,epoch,12.834893226623535,14.3033447265625
izmir,adam,1,170,epoch,12.981527328491211,14.303606986999512
izmir,adam,1,171,epoch,12.98188304901123,14.303980827331543
izmir,adam,1,172,epoch,12.982338905334473,14.304530143737793
izmir,adam,1,173,epoch,12.9828519821167,14.304969787597656
izmir,adam,1,174,epoch,12.983243942260742,14.305343627929688
izmir,adam,1,175,epoch,13.049503326416016,14.30549144744873
izmir,adam,1,176,epoch,13.29916763305664,14.305591583251953
izmir,adam,1,177,epoch,13.299029350280762,14.305227279663086
izmir,adam,1,178,epoch,13.375106811523438,14.304879188537598
izmir,adam,1,179,epoch,13.375190734863281,14.304661750793457
izmir,adam,1,180,epoch,13.375508308410645,14.911063194274902
izmir,adam,1,181,epoch,13.653671264648438,14.911550521850586
izmir,adam,1,182,epoch,13.653983116149902,14.912113189697266
izmir,adam,1,183,epoch,13.654256820678711,14.91267204284668
izmir,adam,1,184,epoch,13.728230476379395,14.913460731506348
izmir,adam,1,185,epoch,13.889670372009277,14.91439151763916
izmir,adam,1,186,epoch,13.89023494720459,14.91489315032959
izmir,adam,1,187,epoch,13.890790939331055,14.915270805358887
izmir,adam,1,188,epoch,13.891366958618164,14.915790557861328
izmir,adam,1,189,epoch,13.89210033416748,14.91635513305664
izmir,adam,1,190,epoch,13.892772674560547,14.91695499420166
izmir,adam,1,191,epoch,13.893376350402832,14.917265892028809
izmir,adam,1,192,epoch,13.893640518188477,14.917753219604492
izmir,adam,1,193,epoch,13.893932342529297,14.91866397857666
izmir,adam,1,194,epoch,13.894455909729004,14.919266700744629
izmir,adam,1,195,epoch,13.89478874206543,14.919770240783691
izmir,adam,1,196,epoch,13.8952054977417,14.920393943786621
izmir,adam,1,197,epoch,13.895716667175293,14.920984268188477
izmir,adam,1,198,epoch,13.896248817443848,14.921499252319336
izmir,adam,1,199,epoch,13.896820068359375,14.922039985656738
izmir,adam,1,200,epoch,13.897326469421387,14.922606468200684
izmir,adam,1,201,epoch,13.89792537689209,14.923210144042969
izmir,adam,1,202,epoch,13.89857006072998,14.924160957336426
izmir,adam,1,203,epoch,13.990091323852539,14.924779891967773
izmir,adam,1,204,epoch,13.990642547607422,14.925328254699707
izmir,adam,1,205,epoch,13.991239547729492,14.92598819732666
izmir,adam,1,206,epoch,13.991981506347656,14.926677703857422
izmir,adam,1,207,epoch,13.99277400970459,14.927129745483398
izmir,adam,1,208,epoch,13.993219375610352,14.927228927612305
izmir,adam,1,209,epoch,13.993169784545898,14.92750072479248
izmir,adam,1,210,epoch,13.818755149841309,14.928235054016113
izmir,adam,1,211,epoch,13.819389343261719,14.929068565368652
izmir,adam,1,212,epoch,13.820021629333496,14.929729461669922
izmir,adam,1,213,epoch,13.560318946838379,14.930868148803711
izmir,adam,1,214,epoch,13.561139106750488,14.176852226257324
izmir,adam,1,215,epoch,13.419476509094238,14.177751541137695
izmir,adam,1,216,epoch,13.420226097106934,14.17874813079834
izmir,adam,1,217,epoch,13.420879364013672,14.179466247558594
izmir,adam,1,218,epoch,13.386237144470215,14.180191040039062
izmir,adam,1,219,epoch,13.386996269226074,14.180947303771973
izmir,adam,1,220,epoch,13.387743949890137,14.182601928710938
izmir,adam,1,221,epoch,13.328445434570312,14.183821678161621
izmir,adam,1,222,epoch,13.32878303527832,14.18399429321289
izmir,adam,1,223,epoch,13.328827857971191,14.184432983398438
izmir,adam,1,224,epoch,13.32913875579834,14.184871673583984
izmir,adam,1,225,epoch,13.328869819641113,13.642794609069824
izmir,adam,1,226,epoch,13.151056289672852,13.061036109924316
izmir,adam,1,227,epoch,12.96745777130127,13.061188697814941
izmir,adam,1,228,epoch,12.905340194702148,13.062950134277344
izmir,adam,1,229,epoch,13.065616607666016,13.06337833404541
izmir,adam,1,230,epoch,12.987025260925293,13.064098358154297
izmir,adam,1,231,epoch,12.987632751464844,13.064974784851074
izmir,adam,1,232,epoch,12.917828559875488,13.06510066986084
izmir,adam,1,233,epoch,12.918214797973633,13.065495491027832
izmir,adam,1,234,epoch,12.884135246276855,13.0662841796875
izmir,adam,1,235,epoch,12.827126502990723,13.067049980163574
izmir,adam,1,236,epoch,12.827961921691895,12.37946891784668
izmir,adam,1,237,epoch,12.691019058227539,12.381002426147461
izmir,adam,1,238,epoch,12.691542625427246,12.381701469421387
izmir,adam,1,239,epoch,12.369195938110352,12.38248348236084
izmir,adam,1,240,epoch,12.369672775268555,12.38339900970459
izmir,adam,1,241,epoch,12.266684532165527,12.383988380432129
izmir,adam,1,242,epoch,12.087423324584961,12.386137962341309
izmir,adam,1,243,epoch,11.860085487365723,12.386066436767578
izmir,adam,1,244,epoch,11.709773063659668,12.180103302001953
izmir,adam,1,245,epoch,11.303682327270508,11.542123794555664
izmir,adam,1,246,epoch,11.067522048950195,11.543583869934082
izmir,adam,1,247,epoch,11.068633079528809,11.543635368347168
izmir,adam,1,248,epoch,10.967294692993164,11.543754577636719
izmir,adam,1,249,epoch,10.882363319396973,11.543930053710938
izmir,adam,1,250,epoch,10.58608341217041,10.68901538848877
izmir,adam,1,251,epoch,10.268202781677246,10.2283353805542
izmir,adam,1,252,epoch,9.588089942932129,10.22872257232666
izmir,adam,1,253,epoch,9.588470458984375,10.229034423828125
izmir,adam,1,254,epoch,9.29969596862793,9.38796329498291
izmir,adam,1,255,epoch,8.826300621032715,9.38812255859375
izmir,adam,1,256,epoch,8.840653419494629,9.388676643371582
izmir,adam,1,257,epoch,8.697155952453613,9.389701843261719
izmir,adam,1,258,epoch,8.697802543640137,9.389238357543945
izmir,adam,1,259,epoch,8.697732925415039,8.916723251342773
izmir,adam,1,260,epoch,8.597347259521484,7.533955097198486
izmir,adam,1,261,epoch,8.709149360656738,7.533304691314697
izmir,adam,1,262,epoch,8.47549819946289,7.532703876495361
izmir,adam,1,263,epoch,8.394797325134277,5.249661445617676
izmir,adam,1,264,epoch,7.514434337615967,5.2498955726623535
izmir,adam,1,265,epoch,7.514979839324951,5.249560832977295
izmir,adam,1,266,epoch,6.672064304351807,3.1657888889312744
izmir,adam,1,267,epoch,5.539978504180908,3.162986993789673
izmir,adam,1,268,epoch,5.153411388397217,3.159116744995117
izmir,adam,1,269,epoch,4.3072052001953125,3.154428005218506
izmir,adam,1,270,epoch,4.304513931274414,4.36000394821167
izmir,adam,1,271,epoch,4.5075507164001465,6.469349384307861
izmir,adam,1,272,epoch,5.430387496948242,6.465880393981934
izmir,adam,1,273,epoch,5.612096786499023,6.4624128341674805
izmir,adam,1,274,epoch,5.6092939376831055,7.7348785400390625
izmir,adam,1,275,epoch,6.123953342437744,8.137024879455566
izmir,adam,1,276,epoch,6.995306491851807,8.134145736694336
izmir,adam,1,277,epoch,6.993100643157959,9.369786262512207
izmir,adam,1,278,epoch,7.295027256011963,9.367326736450195
izmir,adam,1,279,epoch,7.292741775512695,9.364912986755371
izmir,adam,1,280,epoch,7.499541282653809,9.362698554992676
izmir,adam,1,281,epoch,7.595869064331055,9.36042308807373
izmir,adam,1,282,epoch,7.593881130218506,9.609594345092773
izmir,adam,1,283,epoch,7.654736518859863,9.6077880859375
izmir,adam,1,284,epoch,7.653111457824707,9.605960845947266
izmir,adam,1,285,epoch,8.110498428344727,9.604240417480469
izmir,adam,1,286,epoch,8.197659492492676,9.603683471679688
izmir,adam,1,287,epoch,8.434065818786621,9.597928047180176
izmir,adam,1,288,epoch,8.429596900939941,9.584122657775879
izmir,adam,1,289,epoch,8.685632705688477,9.574236869812012
izmir,adam,1,290,epoch,8.759217262268066,9.56285572052002
izmir,adam,1,291,epoch,8.753897666931152,9.555059432983398
izmir,adam,1,292,epoch,8.503371238708496,9.554411888122559
izmir,adam,1,293,epoch,8.499006271362305,9.554014205932617
izmir,adam,1,294,epoch,8.495600700378418,9.556665420532227
izmir,adam,1,295,epoch,8.49569034576416,10.817975044250488
izmir,adam,1,296,epoch,8.7924222946167,10.812500953674316
izmir,adam,1,297,epoch,8.788272857666016,10.802657127380371
izmir,adam,1,298,epoch,8.785116195678711,10.801407814025879
izmir,adam,1,299,epoch,8.892182350158691,10.789766311645508
izmir,adam,1,300,epoch,8.767068862915039,10.790712356567383
