dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
laser,adam,1,1,epoch,11.99242115020752,10.847945213317871
laser,adam,1,2,epoch,10.947420120239258,9.957246780395508
laser,adam,1,3,epoch,10.078530311584473,9.171491622924805
laser,adam,1,4,epoch,9.376540184020996,8.647120475769043
laser,adam,1,5,epoch,8.903024673461914,8.288387298583984
laser,adam,1,6,epoch,8.580119132995605,8.014317512512207
laser,adam,1,7,epoch,8.335550308227539,7.792998790740967
laser,adam,1,8,epoch,8.176732063293457,7.638523101806641
laser,adam,1,9,epoch,8.076606750488281,7.531115531921387
laser,adam,1,10,epoch,8.026081085205078,7.444169998168945
laser,adam,1,11,epoch,7.985080718994141,7.375545024871826
laser,adam,1,12,epoch,7.9216413497924805,7.263214111328125
laser,adam,1,13,epoch,7.84693717956543,7.117302417755127
laser,adam,1,14,epoch,7.760227680206299,6.99095344543457
laser,adam,1,15,epoch,7.68240213394165,6.869999408721924
laser,adam,1,16,epoch,7.613989353179932,6.769602298736572
laser,adam,1,17,epoch,7.551848411560059,6.68474006652832
laser,adam,1,18,epoch,7.497200965881348,6.613205432891846
laser,adam,1,19,epoch,7.449616432189941,6.544282913208008
laser,adam,1,20,epoch,7.402181148529053,6.476356506347656
laser,adam,1,21,epoch,7.349997520446777,6.360668659210205
laser,adam,1,22,epoch,7.290409564971924,6.2568135261535645
laser,adam,1,23,epoch,7.224030494689941,6.170390605926514
laser,adam,1,24,epoch,7.156609058380127,6.0902276039123535
laser,adam,1,25,epoch,7.09163236618042,6.015253067016602
laser,adam,1,26,epoch,7.034182071685791,5.955862522125244
laser,adam,1,27,epoch,6.978996276855469,5.904215335845947
laser,adam,1,28,epoch,6.9326276779174805,5.847639560699463
laser,adam,1,29,epoch,6.885560989379883,5.816860675811768
laser,adam,1,30,epoch,6.848185062408447,5.792395114898682
laser,adam,1,31,epoch,6.814478397369385,5.780050754547119
laser,adam,1,32,epoch,6.789425373077393,5.773462295532227
laser,adam,1,33,epoch,6.76478910446167,5.772324562072754
laser,adam,1,34,epoch,6.736881256103516,5.758248805999756
laser,adam,1,35,epoch,6.710473537445068,5.738256454467773
laser,adam,1,36,epoch,6.686987400054932,5.718769073486328
laser,adam,1,37,epoch,6.660256385803223,5.7030839920043945
