mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(3, 7, 9, 6, 3)",5,0.0,244.58527784207882,92.84525790349421,108,78.36938435940083,99.08485856905175
"(3, 5, 4, 5, 4)",6,0.0,240.42303898358256,99.41763727121466,76,78.369384359401,99.41763727121466
"(7, 9, 4, 3, 9)",5,0.0,238.2880032368671,82.19633943427662,134,78.03660565723827,95.34109816971782
"(5, 3, 5, 5, 8)",6,0.0,243.26142018588337,84.44259567387729,130,78.03660565723823,98.50249584026693
"(9, 7, 8, 9, 7)",7,0.0,207.97032097189557,58.31946755407642,269,78.11980033277898,85.60732113144802
"(4, 7, 5, 4, 5)",6,0.0,239.0707112231967,82.4459234608989,137,78.11980033277901,96.5890183028293
"(5, 4, 8, 4, 5)",7,0.0,243.80327293455753,81.03161397670583,141,78.28618968386051,98.33610648918538
"(9, 9, 6, 8, 3)",4,0.0,207.71689801686722,58.31946755407642,269,78.11980033277898,85.60732113144802
"(4, 7, 3, 4, 6)",4,0.0,240.7068655003906,91.68053244592377,108,78.28618968386027,97.670549084859
"(4, 8, 5, 3, 5)",6,0.0,238.0093070832421,90.93178036605694,107,78.20299500831958,97.92013311148138
"(3, 4, 9, 5, 8)",8,0.0,244.1987487365076,93.84359400998336,105,78.36938435940083,99.16805324459246
"(4, 7, 5, 8, 9)",8,0.0,239.0875113287832,83.1946755407658,135,78.28618968386054,96.5890183028293
"(3, 9, 7, 6, 3)",3,0.0,244.5190271951497,92.84525790349421,108,78.36938435940083,99.08485856905175
"(8, 8, 8, 4, 5)",3,0.0,222.31015746282438,63.643926788685434,234,78.03660565723813,91.0149750415978
"(8, 5, 9, 9, 9)",8,0.0,224.05178848250068,65.39101497504156,223,78.03660565723816,91.68053244592396
"(9, 6, 6, 6, 3)",6,0.0,207.7823322118968,58.31946755407642,269,78.11980033277898,85.60732113144802
"(6, 9, 8, 7, 7)",4,0.0,238.00968517526735,64.89184692179695,203,78.11980033277892,96.00665557404385
"(9, 3, 9, 8, 4)",6,0.0,228.73201686481076,75.12479201331143,166,78.03660565723828,92.67886855241329
"(9, 6, 6, 8, 3)",3,0.0,207.7823322118968,58.31946755407642,269,78.11980033277898,85.60732113144802
"(4, 8, 7, 8, 9)",3,0.0,239.0568306411079,83.1946755407658,135,78.28618968386054,96.5890183028293
"(7, 7, 7, 8, 9)",7,0.0,233.03238906621638,70.88186356073227,190,78.11980033277901,91.93011647254635
"(7, 3, 8, 9, 6)",6,0.0,239.11244237992466,77.95341098169749,151,78.20299500831979,94.25956738768784
"(3, 9, 6, 8, 6)",8,0.0,244.55404985678075,92.17970049916809,110,78.36938435940084,99.001663893511
"(6, 8, 9, 9, 7)",3,0.0,238.0477334862108,64.89184692179695,203,78.11980033277892,96.00665557404385
"(7, 3, 6, 5, 3)",8,0.0,235.98941362281633,86.5224625623965,120,78.03660565723825,95.67387687188088
"(3, 5, 4, 7, 9)",7,0.0,243.8705180960993,99.08485856905163,88,78.11980033277867,99.4176372712147
"(4, 3, 8, 8, 4)",5,0.0,238.8425918037264,98.08652246256267,81,78.1198003327786,98.08652246256267
"(5, 3, 6, 5, 4)",3,0.0,241.06335622179955,94.25956738768748,95,78.0366056572379,98.91846921797044
"(4, 7, 4, 8, 4)",6,0.0,241.20901306923164,87.18801996672254,123,78.20299500831969,97.17138103161459
"(4, 3, 7, 5, 4)",6,0.0,238.8425918037264,98.08652246256267,81,78.1198003327786,98.08652246256267
"(8, 6, 4, 9, 9)",9,0.0,234.39391342426487,69.71713810316152,195,78.119800332779,94.42595673876934
"(8, 8, 5, 6, 8)",7,0.0,223.45168855740152,64.30948419301157,230,78.03660565723814,91.34775374376088
"(4, 5, 9, 3, 9)",7,0.0,239.07955647821163,92.67886855241294,101,78.28618968386023,98.0865224625628
"(4, 4, 3, 4, 4)",8,0.0,237.0806666115889,98.25291181364409,75,78.11980033277861,98.25291181364409
"(3, 6, 6, 9, 3)",5,0.0,244.5924713359493,92.84525790349421,108,78.36938435940083,99.08485856905175
"(5, 4, 5, 6, 3)",8,0.0,243.42104351752695,82.77870216306195,136,78.28618968386053,98.3361064891854
"(7, 5, 5, 3, 9)",9,0.0,236.9927715656747,80.1996672212982,140,78.11980033277902,94.67554076539167
"(8, 8, 8, 6, 7)",3,0.0,223.50181950725178,64.30948419301157,230,78.03660565723814,91.34775374376088
"(5, 8, 3, 4, 8)",3,0.0,242.30995808160048,86.85524126455945,124,78.20299500831968,98.41930116472608
"(4, 5, 5, 6, 8)",4,0.0,239.0140871472737,84.27620632279579,131,78.28618968386056,96.75540765391085
"(9, 5, 7, 8, 7)",5,0.0,208.4064938502949,59.484193011647136,262,78.11980033277896,85.94009983361107
"(4, 9, 6, 5, 8)",4,0.0,239.037468017288,83.1946755407658,135,78.28618968386054,96.5890183028293
"(7, 8, 9, 7, 6)",8,0.0,232.22884411647675,70.21630615640613,194,78.11980033277901,91.76372712146481
"(9, 6, 6, 7, 9)",8,0.0,207.90404688287106,58.31946755407642,269,78.11980033277898,85.60732113144802
"(7, 3, 8, 9, 5)",3,0.0,238.24031440732043,78.95174708818669,147,78.20299500831979,94.42595673876937
"(3, 4, 7, 9, 7)",7,0.0,244.2488236690732,93.84359400998336,105,78.36938435940083,99.16805324459246
"(3, 4, 3, 3, 6)",7,0.0,232.49939804793885,99.50083194675547,52,78.28618968386027,99.50083194675547
"(9, 8, 6, 6, 7)",7,0.0,207.9440707681463,58.31946755407642,269,78.11980033277898,85.60732113144802
"(6, 9, 7, 5, 4)",3,0.0,237.8041592936333,64.89184692179695,203,78.11980033277892,96.00665557404385
"(8, 7, 8, 5, 8)",3,0.0,223.47702942837654,64.30948419301157,230,78.03660565723814,91.34775374376088
"(5, 8, 4, 7, 7)",7,0.0,245.15518081925865,81.44758735440968,140,78.119800332779,98.25291181364463
"(3, 4, 7, 5, 8)",9,0.0,244.1987487365076,93.84359400998336,105,78.36938435940083,99.16805324459246
"(9, 5, 6, 7, 6)",9,0.0,211.60555043995268,60.81530782029939,254,78.11980033277894,86.93843594010025
"(5, 7, 5, 8, 8)",9,0.0,245.95041981029357,77.28785357737131,153,78.28618968386051,98.00332778702231
"(5, 6, 6, 9, 7)",8,0.0,246.0079281239474,77.28785357737131,153,78.28618968386051,98.00332778702231
"(3, 3, 3, 3, 7)",9,0.0,213.1038269859792,99.41763727121474,52,78.61896838602334,99.41763727121474
"(9, 5, 8, 7, 9)",3,0.0,208.3407454221256,59.484193011647136,262,78.11980033277896,85.94009983361107
"(9, 6, 5, 4, 5)",9,0.0,205.1396372852825,58.81863560732101,266,78.11980033277898,85.27454242928495
"(7, 3, 7, 6, 7)",5,0.0,238.80109126081854,76.87188019966752,155,78.11980033277902,93.92678868552477
"(5, 3, 5, 9, 7)",5,0.0,243.31136514119248,84.44259567387729,130,78.03660565723823,98.50249584026693
"(8, 8, 7, 4, 4)",3,0.0,223.3155516953105,64.30948419301157,230,78.03660565723814,91.34775374376088
"(7, 5, 7, 4, 3)",8,0.0,237.4972386516818,75.54076539101523,163,78.03660565723824,93.67720465890245
"(9, 9, 8, 5, 7)",7,0.0,207.9044947281884,58.31946755407642,269,78.11980033277898,85.60732113144802
"(5, 9, 5, 6, 8)",3,0.0,245.8815121783383,77.28785357737131,153,78.28618968386051,98.00332778702231
"(8, 3, 9, 9, 6)",8,0.0,232.36282259665035,71.79700499168075,185,78.11980033277905,94.25956738768787
"(3, 4, 5, 6, 3)",7,0.0,243.26360286494145,97.00499168053247,94,78.36938435940087,99.16805324459241
"(4, 9, 3, 6, 4)",8,0.0,239.84510811439895,94.59234608985052,97,78.11980033277864,97.83693843594044
