dataset,optimiser,initialisation,seed,test_mse
AutoMPG,sgd,heuristic,0,0.04425531157028967
AutoMPG,sgd,heuristic,1,0.04429445163187924
AutoMPG,sgd,heuristic,2,0.04402056057819984
AutoMPG,sgd,heuristic,3,0.04414210964117638
AutoMPG,sgd,heuristic,4,0.044525721459956855
AutoMPG,rmsprop,heuristic,0,0.04504926751534789
AutoMPG,rmsprop,heuristic,1,0.04472379774313034
AutoMPG,rmsprop,heuristic,2,0.044469747845768494
AutoMPG,rmsprop,heuristic,3,0.04514850907616762
AutoMPG,rmsprop,heuristic,4,0.04503047694229846
AutoMPG,sgd,casp_single,0,0.04613229811284149
AutoMPG,sgd,casp_single,1,0.04613500590336731
AutoMPG,sgd,casp_single,2,0.04613260587154325
AutoMPG,sgd,casp_single,3,0.046133874075216554
AutoMPG,sgd,casp_single,4,0.046137068159467325
AutoMPG,rmsprop,casp_single,0,0.04542068740845432
AutoMPG,rmsprop,casp_single,1,0.04540915781743365
AutoMPG,rmsprop,casp_single,2,0.04541385770370965
AutoMPG,rmsprop,casp_single,3,0.045393237360638106
AutoMPG,rmsprop,casp_single,4,0.04541067902696361
AutoMPG,sgd,casp_adapt,0,0.04802366407351059
AutoMPG,sgd,casp_adapt,1,0.04801635382262261
AutoMPG,sgd,casp_adapt,2,0.048012436079865224
AutoMPG,sgd,casp_adapt,3,0.048018318479855084
AutoMPG,sgd,casp_adapt,4,0.048036764685877344
AutoMPG,rmsprop,casp_adapt,0,0.04382085867848062
AutoMPG,rmsprop,casp_adapt,1,0.0436750354580922
AutoMPG,rmsprop,casp_adapt,2,0.04355746978832801
AutoMPG,rmsprop,casp_adapt,3,0.0435044789314781
AutoMPG,rmsprop,casp_adapt,4,0.04338690910321288
AutoMPG,sgd,random_gauss,0,0.04372233092372661
AutoMPG,sgd,random_gauss,1,0.043571610386094264
AutoMPG,sgd,random_gauss,2,0.044891694502962834
AutoMPG,sgd,random_gauss,3,0.044319217130142356
AutoMPG,sgd,random_gauss,4,0.044813066615857
AutoMPG,rmsprop,random_gauss,0,0.045412468333069896
AutoMPG,rmsprop,random_gauss,1,0.043667215199199125
AutoMPG,rmsprop,random_gauss,2,0.044848906131479
AutoMPG,rmsprop,random_gauss,3,0.04491019839779705
AutoMPG,rmsprop,random_gauss,4,0.04492824977636647
AutoMPG,sgd,kmeans_mf,0,0.04398657090691892
AutoMPG,sgd,kmeans_mf,1,0.04385235790825147
AutoMPG,sgd,kmeans_mf,2,0.0437004819994489
AutoMPG,sgd,kmeans_mf,3,0.04388595402567745
AutoMPG,sgd,kmeans_mf,4,0.04401580594305311
AutoMPG,rmsprop,kmeans_mf,0,0.04381430910477295
AutoMPG,rmsprop,kmeans_mf,1,0.04376028604156169
AutoMPG,rmsprop,kmeans_mf,2,0.043578427909322995
AutoMPG,rmsprop,kmeans_mf,3,0.043576685022612714
AutoMPG,rmsprop,kmeans_mf,4,0.04383700321030631
Concrete,sgd,heuristic,0,0.041261576585031254
Concrete,sgd,heuristic,1,0.04108087217357597
Concrete,sgd,heuristic,2,0.04121702727296803
Concrete,sgd,heuristic,3,0.041083014088882534
Concrete,sgd,heuristic,4,0.04144177382355538
Concrete,rmsprop,heuristic,0,0.04115384769975674
Concrete,rmsprop,heuristic,1,0.04112524627036527
Concrete,rmsprop,heuristic,2,0.04110571582103874
Concrete,rmsprop,heuristic,3,0.04115779190554718
Concrete,rmsprop,heuristic,4,0.04115061073711053
Concrete,sgd,casp_single,0,0.04095196020971946
Concrete,sgd,casp_single,1,0.04096353070713885
Concrete,sgd,casp_single,2,0.04097069134055459
Concrete,sgd,casp_single,3,0.04095803385334843
Concrete,sgd,casp_single,4,0.040954657885064055
Concrete,rmsprop,casp_single,0,0.040990176448245326
Concrete,rmsprop,casp_single,1,0.04095660458235902
Concrete,rmsprop,casp_single,2,0.04102735516143653
Concrete,rmsprop,casp_single,3,0.04099930946159808
Concrete,rmsprop,casp_single,4,0.04096342245815193
Concrete,sgd,casp_adapt,0,0.04089925817403833
Concrete,sgd,casp_adapt,1,0.040910190389011794
Concrete,sgd,casp_adapt,2,0.040914260229766096
Concrete,sgd,casp_adapt,3,0.04090487187369662
Concrete,sgd,casp_adapt,4,0.04090209081004237
Concrete,rmsprop,casp_adapt,0,0.041082039304765464
Concrete,rmsprop,casp_adapt,1,0.04105049953967957
Concrete,rmsprop,casp_adapt,2,0.041077782176333885
Concrete,rmsprop,casp_adapt,3,0.04107151174016052
Concrete,rmsprop,casp_adapt,4,0.04105659453869088
Concrete,sgd,random_gauss,0,0.041256523587001194
Concrete,sgd,random_gauss,1,0.041158674182187646
Concrete,sgd,random_gauss,2,0.041149350788064476
Concrete,sgd,random_gauss,3,0.04102601759938554
Concrete,sgd,random_gauss,4,0.041339991292401145
Concrete,rmsprop,random_gauss,0,0.040981480282330826
Concrete,rmsprop,random_gauss,1,0.04182550121333544
Concrete,rmsprop,random_gauss,2,0.04119689775508273
Concrete,rmsprop,random_gauss,3,0.0409699254172724
Concrete,rmsprop,random_gauss,4,0.05556286095198339
Concrete,sgd,kmeans_mf,0,0.04070383866390164
Concrete,sgd,kmeans_mf,1,0.04064242545291499
Concrete,sgd,kmeans_mf,2,0.040674960879396316
Concrete,sgd,kmeans_mf,3,0.040578810015836554
Concrete,sgd,kmeans_mf,4,0.04078511216838812
Concrete,rmsprop,kmeans_mf,0,0.04077520529215282
Concrete,rmsprop,kmeans_mf,1,0.04071249830172834
Concrete,rmsprop,kmeans_mf,2,0.04061070647690093
Concrete,rmsprop,kmeans_mf,3,0.04075976280399648
Concrete,rmsprop,kmeans_mf,4,0.04080965862097873
Cool,sgd,heuristic,0,0.06659478506100597
Cool,sgd,heuristic,1,0.06664117718598432
Cool,sgd,heuristic,2,0.0670069044771692
Cool,sgd,heuristic,3,0.06693274701848387
Cool,sgd,heuristic,4,0.06600371834862298
Cool,rmsprop,heuristic,0,0.06674292615013777
Cool,rmsprop,heuristic,1,0.06636921207426988
Cool,rmsprop,heuristic,2,0.06564383317105234
Cool,rmsprop,heuristic,3,0.06652861759758993
Cool,rmsprop,heuristic,4,0.06636345489395244
Cool,sgd,casp_single,0,0.06789564907702272
Cool,sgd,casp_single,1,0.06791414328489091
Cool,sgd,casp_single,2,0.06789116475484286
Cool,sgd,casp_single,3,0.06789479374204598
Cool,sgd,casp_single,4,0.06792999800110736
Cool,rmsprop,casp_single,0,0.06701671701180269
Cool,rmsprop,casp_single,1,0.06709216609292322
Cool,rmsprop,casp_single,2,0.06683443717061467
Cool,rmsprop,casp_single,3,0.06679777698369203
Cool,rmsprop,casp_single,4,0.06677709668883847
Cool,sgd,casp_adapt,0,0.06209503348414691
Cool,sgd,casp_adapt,1,0.06204838239460214
Cool,sgd,casp_adapt,2,0.06207263433622692
Cool,sgd,casp_adapt,3,0.06200634336282686
Cool,sgd,casp_adapt,4,0.062005457549310375
Cool,rmsprop,casp_adapt,0,0.06672932141247624
Cool,rmsprop,casp_adapt,1,0.06680633174712147
Cool,rmsprop,casp_adapt,2,0.066537222074934
Cool,rmsprop,casp_adapt,3,0.06660884221910461
Cool,rmsprop,casp_adapt,4,0.06759913967061001
Cool,sgd,random_gauss,0,0.06825512170003502
Cool,sgd,random_gauss,1,0.06847805918453903
Cool,sgd,random_gauss,2,0.056449290117341
Cool,sgd,random_gauss,3,0.06806513845685562
Cool,sgd,random_gauss,4,0.06840089213059958
Cool,rmsprop,random_gauss,0,0.06718993481807685
Cool,rmsprop,random_gauss,1,0.05134552221816645
Cool,rmsprop,random_gauss,2,0.08271991475607635
Cool,rmsprop,random_gauss,3,0.06828113889225607
Cool,rmsprop,random_gauss,4,0.0682768942175907
Cool,sgd,kmeans_mf,0,0.06867851526870407
Cool,sgd,kmeans_mf,1,0.06745987020701495
Cool,sgd,kmeans_mf,2,0.06758419625627127
Cool,sgd,kmeans_mf,3,0.06744127212669203
Cool,sgd,kmeans_mf,4,0.0673398264295737
Cool,rmsprop,kmeans_mf,0,0.06740921387686027
Cool,rmsprop,kmeans_mf,1,0.06722382210289934
Cool,rmsprop,kmeans_mf,2,0.06684258293302751
Cool,rmsprop,kmeans_mf,3,0.06726770834279347
Cool,rmsprop,kmeans_mf,4,0.06673299206981301
Energy,sgd,heuristic,0,0.08050463051320074
Energy,sgd,heuristic,1,0.08066172812839678
Energy,sgd,heuristic,2,0.07999927917796439
Energy,sgd,heuristic,3,0.0802118115943852
Energy,sgd,heuristic,4,0.08043139148174462
Energy,rmsprop,heuristic,0,0.08063616306406542
Energy,rmsprop,heuristic,1,0.0807752788824951
Energy,rmsprop,heuristic,2,0.07987967988503528
