mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(3, 4, 3, 3, 4)",3.0,0.0,-49999761.58560577,77.25856697819331,1000000000.0,77.25856697819331,77.25856697819331
,,,-1e+18,,,,
,,,-1e+18,,,,
,,,-1e+18,,,,
"(5, 4, 8, 8, 5)",8.0,0.0,-49999914.5932415,22.118380062305278,1000000000.0,22.118380062305278,22.118380062305278
"(3, 3, 4, 7, 7)",4.0,0.0,-49999828.44460752,48.909657320872235,1000000000.0,48.909657320872235,48.909657320872235
"(4, 6, 8, 6, 6)",3.0,0.0,-49999907.1358386,24.610591900311505,1000000000.0,24.610591900311505,24.610591900311505
"(8, 6, 3, 4, 5)",6.0,0.0,-49999852.17398692,42.05607476635511,1000000000.0,42.05607476635511,42.05607476635511
"(4, 3, 9, 5, 5)",7.0,0.0,-49999864.743109964,38.31775700934577,1000000000.0,38.31775700934577,38.31775700934577
"(3, 8, 7, 8, 5)",7.0,0.0,-49999909.02576992,23.67601246105917,1000000000.0,23.67601246105917,23.67601246105917
"(5, 5, 8, 6, 6)",5.0,0.0,-49999916.74930027,21.49532710280372,1000000000.0,21.49532710280372,21.49532710280372
,,,-1e+18,,,,
"(7, 8, 4, 9, 4)",9.0,0.0,-49999915.79359941,22.118380062305278,1000000000.0,22.118380062305278,22.118380062305278
"(4, 7, 9, 3, 4)",4.0,0.0,-49999883.748068325,33.02180685358253,1000000000.0,33.02180685358253,33.02180685358253
"(7, 8, 3, 5, 3)",3.0,0.0,-49999836.53474844,47.040498442367564,1000000000.0,47.040498442367564,47.040498442367564
"(7, 4, 7, 9, 4)",9.0,0.0,-49999905.22226577,25.23364485981306,1000000000.0,25.23364485981306,25.23364485981306
"(8, 4, 4, 3, 3)",8.0,0.0,-49999817.18079492,54.20560747663547,1000000000.0,54.20560747663547,54.20560747663547
"(7, 4, 3, 3, 5)",5.0,0.0,-49999808.23081917,57.943925233644805,1000000000.0,57.943925233644805,57.943925233644805
,,,-1e+18,,,,
,,,-1e+18,,,,
,,,-1e+18,,,,
"(6, 7, 4, 5, 9)",5.0,0.0,-49999907.89106594,24.299065420560726,1000000000.0,24.299065420560726,24.299065420560726
"(3, 5, 8, 5, 3)",7.0,0.0,-49999844.34870278,44.85981308411212,1000000000.0,44.85981308411212,44.85981308411212
,,,-1e+18,,,,
"(3, 8, 3, 7, 3)",8.0,0.0,-49999822.429812245,51.713395638629244,1000000000.0,51.713395638629244,51.713395638629244
,,,-1e+18,,,,
,,,-1e+18,,,,
"(9, 6, 3, 9, 5)",4.0,0.0,-49999919.04913058,21.183800623052942,1000000000.0,21.183800623052942,21.183800623052942
"(9, 6, 6, 3, 4)",7.0,0.0,-49999892.5101147,29.59501557632396,1000000000.0,29.59501557632396,29.59501557632396
"(5, 6, 3, 7, 5)",5.0,0.0,-49999867.739574745,37.07165109034265,1000000000.0,37.07165109034265,37.07165109034265
